sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-221,RNAlater_SR_later_QBTK_2,2,2,10,SR,liquid,later,QBTK,34.401,467.63,0.066,0,PB119,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,3,10,SR,liquid,later,QBTK,34.405,466.34,0.184,0,PB119,0.188
52345-221,RNAlater_SR_later_QBTK_2,2,1,10,SR,liquid,later,QBTK,34.767,372.79,0.066,0,PB119,0.188
52345-220,RNAlater_SR_later_QBTK_1,1,3,10,SR,liquid,later,QBTK,35.748,203.11,-0.078,0,PB119,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,1,10,SR,liquid,later,QBTK,35.75,202.83,-0.153,0,PB119,0.087
52345-220,RNAlater_SR_later_QBTK_1,1,2,10,SR,liquid,later,QBTK,35.821,194.17,0.067,0,PB119,0.087
52345-230,Extra longmires from sample 52345-085,,3,10,vacuum,liquid,longmires,QBTK,36.562,122.72,-0.096,0,PB119,0.09
52345-230,Extra longmires from sample 52345-085,,1,10,vacuum,liquid,longmires,QBTK,36.89,100.21,-0.08,0,PB119,0.09
52345-230,Extra longmires from sample 52345-085,,2,10,vacuum,liquid,longmires,QBTK,36.901,99.49,-0.102,0,PB119,0.09
52345-085,vacuum_longmires_QBTK_1,1,1,10,vacuum,filter,longmires,QBTK,NA,,-0.007,0,PB119,TL
52345-085,vacuum_longmires_QBTK_1,1,2,10,vacuum,filter,longmires,QBTK,NA,,-0.09,0,PB119,TL
52345-085,vacuum_longmires_QBTK_1,1,3,10,vacuum,filter,longmires,QBTK,NA,,-0.059,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,1,10,vacuum,filter,longmires,QBTK,NA,,0.043,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,2,10,vacuum,filter,longmires,QBTK,NA,,0.064,0,PB119,TL
52345-086,vacuum_longmires_QBTK_2,2,3,10,vacuum,filter,longmires,QBTK,NA,,0.009,0,PB119,TL
